Username,Password,Course,Genre
Ivy,pass123,AdventureIsland,famous
Ivy,pass123,Park_Bench_a_Killer_View,overlooked
Grace,secret123,blackjack,famous
Grace,secret123,minimela,overlooked
Frank,letmein,petNGO,overlooked
Frank,letmein,zoo,famous
Priyansu,123,venice,famous
Priyansu,123,ArtistJunction,overlooked
Eve,letmein,Museum,famous
Eve,letmein,streetart_t_point,overlooked
David,p@ssw0rd,ArtistJunction,overlooked
David,p@ssw0rd,streetart_t_point,overlooked
Charlie,myPwd1,skater_rink,overlooked
Charlie,myPwd1,ice_skating_rink,overlooked
Charlie,myPwd1,minimela,overlooked
Jenny,myPwd1,Bob,secret321
Jenny,myPwd1,Park_Bench_a_Killer_View,overlooked
shubh,123,petNGO,overlooked
shubh,123,animalfoundation,overlooked 
Bob,secret321,BotanicMystery,overlooked
Bob,secret321,AdventureIsland,famous 
Alice,pass123,venice,famous
Alice,pass123,petNGO,overlooked
Alice,pass123,zoo,famous
Alice,pass123,murthal,overlooked
Hank,p@ssw0rd,AdventureIsland,famous
Hank,p@ssw0rd,punjabgrills,famous
Hank,p@ssw0rd,murthal,overlooked
